entry_date,entry_price,exit_date,exit_price,return_pct,pnl,bars_held,trigger
2013-05-08,3.3738704999999993,2013-05-09,3.3371595,-0.014880974832910617,-148.80974832910618,1,MA_Filter_EMA_50
2013-05-20,3.3633599999999997,2013-05-21,3.3401565,-0.010898904666761685,-108.98904666761685,1,MA_Filter_EMA_50
2013-05-22,3.3838804999999996,2013-05-23,3.300696,-0.028582576128205358,-285.8257612820536,1,MA_Filter_EMA_50
2013-06-04,3.3793759999999997,2013-06-06,3.3221745,-0.02092664562925217,-209.2664562925217,2,MA_Filter_EMA_50
2013-07-23,3.2011979999999998,2013-07-24,3.175821,-0.011927344700327743,-119.27344700327743,1,MA_Filter_EMA_50
