entry_date,entry_price,exit_date,exit_price,return_pct,pnl,bars_held,trigger
2014-01-02,95.50540999999998,2014-01-13,91.43847,-0.046583346849147,-465.83346849147,11,Momentum_252d_th0pct
2014-01-15,94.44434999999999,2014-01-16,94.02588,-0.008430863254392459,-84.30863254392459,1,Momentum_252d_th0pct
2014-01-22,96.76666999999999,2014-01-27,95.56434,-0.016425042630897498,-164.250426308975,5,Momentum_252d_th0pct
2014-01-28,97.26717,2014-01-30,97.93197,0.002834783000266409,28.34783000266409,2,Momentum_252d_th0pct
2014-01-31,97.56746999999999,2014-02-03,96.56334,-0.01429164741076083,-142.91647410760828,3,Momentum_252d_th0pct
