strategy,asset,period,cagr,final_equity,total_return,sharpe_ratio,sortino_ratio,calmar_ratio,profit_factor,volatility_annual,annualized_volatility,max_drawdown,avg_drawdown,max_recovery_days,longest_flat_days,n_trades,n_signals,n_entries,n_completed_trades,win_rate,expectancy,payoff_ratio,trades_per_year,pct_months_positive,pct_years_positive,monthly_return_std,flow,pct_time_invested,avg_exposure,max_exposure,avg_trade_duration,pct_profit_top5,pct_profit_top20pct,gini_trades,ruin_risk,ruin_class,worst_loss_streak,complexity_score,complexity_label,n_parameters,decisions_per_year,pain_index
MA_Cross_SMA_20_200,BTCUSD,2010-2015,0.4356364960132557,48127.76583419068,3.812776583419068,0.6863081342519324,1.3180890807735164,0.4788132570746051,1.5376514959085101,1.420314449988659,1.420314449988659,-0.9098254686489979,-0.5980122857960088,41.0,757.0,0,409,5,0,,,,1.1506849315068495,0.3055555555555556,0.6666666666666666,0.7990957130541002,esporádico,0.817351598173516,0.37077625570776257,1.0,,,,,,,,0.30575342465753425,baixa manutenção,3,1.1506849315068495,56.32562592628108
MA_Cross_SMA_20_200,BOVA11,2010-2015,-0.07443589141563589,6341.2027899403,-0.36587972100597,-0.6093807030411492,-0.6338363244254231,-0.18638858418046256,0.8351181838771863,0.1159002336967385,0.1159002336967385,-0.3993586396019115,-0.21991730006548518,2.0,1275.0,0,439,7,0,,,,1.1886792452830188,0.16666666666666666,0.16666666666666666,0.029143618574819154,esporádico,0.8652291105121294,0.29582210242587603,1.0,,,,,,,,0.3059433962264151,baixa manutenção,3,1.1886792452830188,22.726526730764977
MA_Cross_SMA_20_200,IVVB11,2010-2015,0.18566627950643122,13174.943419072204,0.3174943419072205,1.202785100001303,1.2635128128917816,1.7401565849601452,1.3169177500243496,0.15112026433858713,0.15112026433858713,-0.10669515669515656,-0.0420097035748103,84.0,84.0,0,208,1,0,,,,0.6176470588235294,0.3333333333333333,0.5,0.038999765169592956,esporádico,0.5098039215686274,0.5024509803921569,1.0,,,,,,,,0.30308823529411766,baixa manutenção,3,0.6176470588235294,3.141420206817972
MA_Cross_SMA_20_200,USDBRL,2010-2015,0.05046680704176176,12901.645167436338,0.29016451674363375,0.5261596701377421,0.529723704215788,0.41248203622133295,1.1389111284280014,0.10382380818933944,0.10382380818933944,-0.12234910277324629,-0.05540153547956982,342.0,342.0,0,657,3,0,,,,0.5797546012269938,0.35,0.8,0.029311700622533285,esporádico,0.661042944785276,0.5015337423312883,1.0,,,,,,,,0.30289877300613494,baixa manutenção,3,0.5797546012269938,5.043222525524538
MA_Cross_SMA_20_200,XAUUSD,2010-2015,-0.0423497056460157,8744.932250887825,-0.12550677491121742,-0.9466247356315338,-0.7203542423590741,-0.26679754209901435,0.6695747425564389,0.04465210494881208,0.04465210494881208,-0.15873349249334093,-0.12441109628157795,2.0,468.0,0,109,4,0,,,,1.290653008962868,0.08333333333333333,0.0,0.011824063266611978,esporádico,0.6133162612035852,0.14169867690994456,1.0,,,,,,,,0.30645326504481435,baixa manutenção,3,1.290653008962868,10.110593046939208
MA_Cross_SMA_20_200,WTIUSD,2010-2015,-0.04691327128296363,8657.595019097924,-0.13424049809020755,-0.7996275003876603,-0.7319996345451829,-0.3492482118358967,0.7387985029966518,0.05798226693054109,0.05798226693054109,-0.13432644661615917,-0.10362205480974558,,554.0,0,122,3,0,,,,1.0,0.08333333333333333,0.0,0.017437036641022106,esporádico,0.7354497354497355,0.16137566137566142,1.0,,,,,,,,0.305,baixa manutenção,3,1.0,9.56418801775733
MA_Cross_SMA_20_200,DOLFUT,2010-2015,0.0511782536758596,11661.36664143482,0.16613666414348205,0.8905174895384813,0.8819299015191434,0.7495832003562921,1.2451126619369244,0.05793643588904091,0.05793643588904091,-0.06827561457024856,-0.026263781246902356,34.0,208.0,0,369,3,0,,,,0.9742268041237113,0.3611111111111111,0.6666666666666666,0.016002285232180315,esporádico,0.520618556701031,0.47164948453608246,1.0,,,,,,,,0.30487113402061855,baixa manutenção,3,0.9742268041237113,2.1919363560550953
MA_Cross_SMA_20_200,COPPERFUT,2010-2015,-0.02314104004680506,9316.515147693099,-0.06834848523069015,-0.6205373512574007,-0.5566637866618399,-0.27404280387945595,0.7309438616036831,0.03665002298522338,0.03665002298522338,-0.08444315894893625,-0.058002298435276906,,508.0,0,74,3,0,,,,0.9921259842519685,0.08333333333333333,0.3333333333333333,0.011449802470538298,esporádico,0.6706036745406824,0.09711286089238849,1.0,,,,,,,,0.30496062992125983,baixa manutenção,3,0.9921259842519685,4.9280600223332645
MA_Cross_SMA_20_200,SOYFUT,2010-2015,-0.09113783053593572,7453.580787924936,-0.2546419212075064,-0.8381594140848406,-0.5959884528427177,-0.3001261093084719,0.6828669809982026,0.10703496058581882,0.10703496058581882,-0.30366511845946587,-0.20559046959289956,15.0,435.0,0,123,2,0,,,,0.6503225806451612,0.05555555555555555,0.0,0.030911990813339334,esporádico,0.6038709677419355,0.15870967741935488,1.0,,,,,,,,0.3032516129032258,baixa manutenção,3,0.6503225806451612,17.147303275326028
MA_Cross_SMA_50_200,BTCUSD,2010-2015,0.39377839184194574,42321.01516644623,3.232101516644623,0.6190722387902297,1.487969640698028,0.43280651664617414,1.6166791479833686,1.870320801244698,1.870320801244698,-0.9098254686489979,-0.5810673874118968,41.0,757.0,0,434,4,0,,,,0.9205479452054796,0.3055555555555556,0.6666666666666666,0.7984044683306695,esporádico,0.817351598173516,0.39360730593607307,1.0,,,,,,,,0.30460273972602736,baixa manutenção,3,0.9205479452054796,54.7272015975799
MA_Cross_SMA_50_200,BOVA11,2010-2015,-0.09700642814550586,5483.172122683474,-0.4516827877316526,-0.746239155430805,-0.7825826413510343,-0.2061175213881588,0.8076871612237951,0.12606929208853032,0.12606929208853032,-0.47063649655879647,-0.2415325652893535,2.0,1275.0,0,478,6,0,,,,1.0188679245283019,0.16666666666666666,0.0,0.03194141215783523,esporádico,0.8652291105121294,0.3221024258760108,1.0,,,,,,,,0.3050943396226415,baixa manutenção,3,1.0188679245283019,25.352636845413983
MA_Cross_SMA_50_200,IVVB11,2010-2015,0.18566627950643122,13174.943419072204,0.3174943419072205,1.202785100001303,1.2635128128917816,1.7401565849601452,1.3169177500243496,0.15112026433858713,0.15112026433858713,-0.10669515669515656,-0.0420097035748103,84.0,84.0,0,208,1,0,,,,0.6176470588235294,0.3333333333333333,0.5,0.038999765169592956,esporádico,0.5098039215686274,0.5024509803921569,1.0,,,,,,,,0.30308823529411766,baixa manutenção,3,0.6176470588235294,3.141420206817972
MA_Cross_SMA_50_200,USDBRL,2010-2015,0.037512293175343325,12099.257751690073,0.20992577516900734,0.42053856499688924,0.42186948392082424,0.3066004762198056,1.1085853380714108,0.0992983445913423,0.0992983445913423,-0.12234910277324655,-0.05646634353763796,342.0,342.0,0,659,3,0,,,,0.5797546012269938,0.3333333333333333,0.8,0.028625687735967804,esporádico,0.6549079754601227,0.5030674846625767,1.0,,,,,,,,0.30289877300613494,baixa manutenção,3,0.5797546012269938,5.083880945236568
MA_Cross_SMA_50_200,XAUUSD,2010-2015,-0.03978739306021917,8817.651809965544,-0.11823481900344557,-0.9810914107282498,-0.7452319372438282,-0.30279282023761434,0.6414866486813815,0.040539843001753,0.040539843001753,-0.1314013754652317,-0.10812430692410271,13.0,447.0,0,110,2,0,,,,0.645326504481434,0.08333333333333333,0.0,0.011500673810181614,esporádico,0.5953905249679897,0.14084507042253525,1.0,,,,,,,,0.30322663252240717,baixa manutenção,3,0.645326504481434,8.770630773000152
MA_Cross_SMA_50_200,WTIUSD,2010-2015,-0.041220444126679134,8813.660039742608,-0.11863399602573921,-0.629629590478668,-0.5850863290246292,-0.31625928734103115,0.7837782886417329,0.06363459035803187,0.06363459035803187,-0.13033749766921465,-0.09286379775488068,161.0,386.0,0,129,2,0,,,,0.6666666666666666,0.08333333333333333,0.0,0.01831808562742768,esporádico,0.7354497354497355,0.17063492063492067,1.0,,,,,,,,0.30333333333333334,baixa manutenção,3,0.6666666666666666,8.782806934384832
MA_Cross_SMA_50_200,DOLFUT,2010-2015,0.05138383333337715,11668.390935812677,0.16683909358126758,0.8931557703687187,0.8653888143460196,0.7040401421943262,1.2497115215430306,0.05798769717310601,0.05798769717310601,-0.07298423804816856,-0.029876640369210554,22.0,208.0,0,354,2,0,,,,0.6494845360824741,0.3611111111111111,0.6666666666666666,0.015930638124569182,esporádico,0.48711340206185566,0.452319587628866,1.0,,,,,,,,0.3032474226804124,baixa manutenção,3,0.6494845360824741,2.3019765241132895
MA_Cross_SMA_50_200,COPPERFUT,2010-2015,-0.056799623651621944,8379.290142741234,-0.16207098572587653,-1.1727770614238266,-0.8508202392163873,-0.3495140353027938,0.5201871351605433,0.048830911336372136,0.048830911336372136,-0.16251027974431653,-0.14060626185353425,,508.0,0,78,2,0,,,,0.6614173228346457,0.0,0.0,0.015604193726023318,esporádico,0.6679790026246719,0.10236220472440949,1.0,,,,,,,,0.3033070866141732,baixa manutenção,3,0.6614173228346457,11.896144613957702
MA_Cross_SMA_50_200,SOYFUT,2010-2015,-0.06147358096457711,8227.389547840572,-0.17726104521594288,-0.6782315340644599,-0.46454202826571817,-0.2680571009959182,0.7190601801215858,0.08773488244302047,0.08773488244302047,-0.22933017157979785,-0.1684619206880535,4.0,435.0,0,105,2,0,,,,0.6503225806451612,0.08333333333333333,0.0,0.025333738850138083,esporádico,0.5883870967741935,0.13548387096774198,1.0,,,,,,,,0.3032516129032258,baixa manutenção,3,0.6503225806451612,13.58869318014503
MA_Cross_EMA_20_200,BTCUSD,2010-2015,0.17556254939171656,20194.563680599644,1.0194563680599642,0.5541459254843197,0.6622767048514406,0.19556992371252999,1.245960190643089,0.756706763756204,0.756706763756204,-0.8976970796888869,-0.7373483617837894,41.0,757.0,0,414,5,0,,,,1.1506849315068495,0.3055555555555556,0.6666666666666666,0.8073834140392244,esporádico,0.817351598173516,0.37534246575342467,1.0,,,,,,,,0.30575342465753425,baixa manutenção,3,1.1506849315068495,69.72594605504433
MA_Cross_EMA_20_200,BOVA11,2010-2015,-0.07391096061971969,6362.410933883957,-0.36375890661160426,-0.6509021190624975,-0.671082630780816,-0.19160233184507375,0.8228115468141177,0.10884879917764276,0.10884879917764276,-0.3857518846873053,-0.2435941067225988,2.0,1275.0,0,419,10,0,,,,1.6981132075471697,0.1527777777777778,0.0,0.028103741870141818,esporádico,0.8652291105121294,0.282345013477089,1.0,,,,,,,,0.30849056603773584,baixa manutenção,3,1.6981132075471697,24.607159844513458
